"cca_id","company_name","sector","forecast_e","forecast_s","forecast_g","dynamic_model_ex_market_sector","m1_pct_return","m3_pct_return","m6_pct_return","y1_pct_return"
"98030","IAC/InterActiveCorp.","Communication Services","44.6984","45.9962","45.1543","-1.8762","-12.1163231445938","-28.0518773880388","-17.7731270402408","-14.6971224318288"
"98037","ICU Medical, Inc.","Health Care","45.9797","47.0961","44.7931","-0.739505","3.04377348750045","7.82917532930656","26.4222010605391","-15.6939772820083"
"98039","IDEX Corp.","Industrials","47.6059","48.6186","51.5796","0.126677","-6.68237496375381","-19.4706543052993","-15.2139796575797","-7.86079541869728"
"98040","IDEXX Laboratories, Inc.","Health Care","48.0491","49.5876","47.4487","0.243313","-4.82106680991229","-7.23395939043009","-10.9182895911217","8.33624086990383"
"98045","Illinois Tool Works, Inc.","Industrials","51.645","51.0928","53.5102","0.673029","-14.6572316836656","-20.287215521534","-7.95600537483979","1.72593194618436"
"98046","Illumina, Inc.","Health Care","50.092","50.0529","48.1191","-0.334566","2.80421120315579","-17.6704788139382","-10.2228972502077","-12.0925102075776"
"98054","Incyte Corp.","Health Care","47.1401","48.5566","45.5804","0.619549","-2.89084316956068","-16.1360336939545","-1.34714718556597","-14.858735946193"
"98068","Inovalon Holdings, Inc.","Health Care","46.7192","47.8791","51.2508","0.464226","-14.476302745363","-11.4770463639735","1.64745046214709","34.0307645845409"
"98077","Insulet Corp.","Health Care","45.7456","48.3254","49.4492","-0.120145","-12.7862470620695","-3.22433977310548","0.454682661407557","74.23484931537"
"98079","Integra LifeSciences Holdings Corp.","Health Care","46.9556","45.8187","48.338","-0.553743","-14.2610348549287","-23.3527655726808","-25.6367406586853","-19.831267211449"
"98080","Intel Corp.","Information Technology","53.0923","55.0522","55.2455","0.65339","-2.52162538493651","-9.12919607609504","6.11997294102777","3.14524140454346"
"98082","Intelsat SA","Communication Services","45.583","47.3752","44.5681","-0.955914","-60.3626479153212","-78.2361108429586","-93.2894703534119","-90.2298763367009"
